edb_region,name,fixed_rate,import_rates.Uncontrolled,import_rates.Controlled,import_rates.All inclusive,import_rates.Day,import_rates.Night
Alpine Energy,160969,3.7133499999999997,,,,0.20884,0.13409
Aurora Energy,160746,2.0723,,,,0.35028999999999993,0.10855999999999999
Buller Electricity,160789,3.0003499999999996,,,,0.3468399999999999,0.18928999999999999
Centralines Ltd,160820,2.6633999999999998,,,,0.41123999999999994,0.19734
Counties Power,91527,3.2775,0.28243999999999997,,,,
EA Networks,177843,1.5869999999999997,,,0.23310499999999998,,
Electra,160727,2.07345,,,,0.3387899999999999,0.15938999999999998
Electricity Invercargill Ltd,160918,2.07345,,,,0.26749,0.11511499999999998
Firstlight Network,99894,3.8524999999999996,0.22850499999999996,,,,
Horizon Energy Distribution,161155,2.7335499999999997,,,0.21343999999999996,,
MainPower NZ Ltd,169118,3.1785999999999994,,,,0.25368999999999997,0.19963999999999998
Marlborough Lines Ltd,160966,3.3603,,,,0.28014,0.24334
Nelson Electricity Ltd,160783,2.07115,,,,0.24448999999999999,0.17089
Network Tasman Ltd,160957,2.1746499999999997,,,,0.26519,0.15133999999999997
Network Waitaki,161074,3.8179999999999996,,,,0.24564,0.11546
Northpower,91543,3.2085,,,0.23873999999999998,,
Orion New Zealand Ltd,160743,2.0723,,,,0.29394,0.12373999999999999
OtagoNet,161076,2.8646499999999997,,,,0.34798999999999997,0.14329
Powerco,160772,2.07,,,,0.27438999999999997,0.18238999999999997
Scanpower Ltd,161661,2.0803499999999997,,,,0.31349,0.22608999999999999
The Lines Company,161153,2.07115,,,,0.29968999999999996,0.25714
The Power Company Ltd,160808,2.3517499999999996,,,,0.32728999999999997,0.11373499999999999
Top Energy,160956,3.05095,,,,0.31349,0.19388999999999998
Unison Networks Ltd,161005,2.1505,,,,0.28243999999999997,0.15478999999999998
Vector,160831,2.59095,,,,0.21343999999999996,0.17549
WEL Networks,160753,2.4288,,,,0.25714,0.20539
Waipa Networks Ltd,161928,1.4964949999999997,,,0.3069395999999999,,
Wellington Electricity,160770,2.4172999999999996,,,,0.21228999999999998,0.17204
Westpower Ltd,160980,2.3057499999999997,,,,0.39399,0.15133999999999997
