climate_zone,electricity_plan_name,natural_gas_plan_name,lpg_plan_name,wood_price_name,petrol_price_name,diesel_price_name,people_in_house,disconnect_gas,cooktop_type,annual_variable_cost,annual_kg_co2e
Northland,Electricity PlanId 91543,Methane PlanId 161160,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric induction,38.04312195121950,17.08227642276423
Northland,Electricity PlanId 91543,Methane PlanId 161160,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Piped gas,86.68943089430894,80.32520325203252
Northland,Electricity PlanId 91543,Methane PlanId 161160,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Bottled gas,100.50948509485096,88.15176151761518
Northland,Electricity PlanId 91543,Methane PlanId 161160,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric (coil or ceramic),42.05447154471544,18.88346883468835
Northland,Electricity PlanId 91543,Methane PlanId 161160,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric induction,38.04312195121950,17.08227642276423
Northland,Electricity PlanId 91543,Methane PlanId 161160,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Piped gas,86.68943089430894,80.32520325203252
Northland,Electricity PlanId 91543,Methane PlanId 161160,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Bottled gas,100.50948509485096,88.15176151761518
Northland,Electricity PlanId 91543,Methane PlanId 161160,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric (coil or ceramic),42.05447154471544,18.88346883468835
Northland,Electricity PlanId 160956,Default Natural Gas Plan,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric induction,49.95450406504064,17.08227642276423
Northland,Electricity PlanId 160956,Default Natural Gas Plan,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Piped gas,45.31165311653117,80.32520325203252
Northland,Electricity PlanId 160956,Default Natural Gas Plan,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Bottled gas,100.50948509485096,88.15176151761518
Northland,Electricity PlanId 160956,Default Natural Gas Plan,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric (coil or ceramic),55.22181571815718,18.88346883468835
Northland,Electricity PlanId 160956,Default Natural Gas Plan,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric induction,49.95450406504064,17.08227642276423
Northland,Electricity PlanId 160956,Default Natural Gas Plan,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Piped gas,45.31165311653117,80.32520325203252
Northland,Electricity PlanId 160956,Default Natural Gas Plan,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Bottled gas,100.50948509485096,88.15176151761518
Northland,Electricity PlanId 160956,Default Natural Gas Plan,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric (coil or ceramic),55.22181571815718,18.88346883468835
Auckland,Electricity PlanId 160831,Methane PlanId 161159,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric induction,34.01157723577235,17.08227642276423
Auckland,Electricity PlanId 160831,Methane PlanId 161159,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Piped gas,40.17084010840109,80.32520325203252
Auckland,Electricity PlanId 160831,Methane PlanId 161159,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Bottled gas,100.50948509485096,88.15176151761518
Auckland,Electricity PlanId 160831,Methane PlanId 161159,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric (coil or ceramic),37.59783197831977,18.88346883468835
Auckland,Electricity PlanId 160831,Methane PlanId 161159,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric induction,34.01157723577235,17.08227642276423
Auckland,Electricity PlanId 160831,Methane PlanId 161159,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Piped gas,40.17084010840109,80.32520325203252
Auckland,Electricity PlanId 160831,Methane PlanId 161159,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Bottled gas,100.50948509485096,88.15176151761518
Auckland,Electricity PlanId 160831,Methane PlanId 161159,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric (coil or ceramic),37.59783197831977,18.88346883468835
